,FarmID,Plant_ID,incidence_b_cinerea,SampleDate,Pommaison_lettuce_date,cote_b_lactucae,incidence_sclerotinia
0,0,1,0,176,0,0,0
1,0,2,0,176,0,0,0
2,0,3,0,176,0,0,0
3,0,4,0,176,0,0,0
4,0,5,0,176,0,0,0
5,0,6,0,176,0,0,0
6,0,7,0,176,0,0,0
7,0,8,0,176,0,1,0
8,0,9,0,176,0,1,0
9,0,10,0,176,0,0,0
10,0,11,0,176,0,0,0
11,0,12,0,176,0,0,0
12,0,13,0,176,0,0,0
13,0,14,0,176,0,0,0
14,0,15,0,176,0,0,0
15,0,16,0,176,0,0,0
16,0,17,0,176,0,0,0
17,0,18,0,176,0,0,0
18,0,19,0,176,0,0,0
19,0,20,0,176,0,0,0
20,0,21,0,176,0,0,0
21,0,22,0,176,0,0,0
22,0,23,0,176,0,0,0
23,0,24,0,176,0,0,0
24,0,25,0,176,0,0,0
96,1,1,0,179,193,0,0
97,1,2,0,179,193,0,0
98,1,3,0,179,193,0,0
99,1,4,0,179,193,0,0
100,1,5,0,179,193,0,0
101,1,6,0,179,193,0,0
102,1,7,0,179,193,0,0
103,1,8,0,179,193,0,0
104,1,9,0,179,193,1,0
105,1,10,0,179,193,0,0
106,1,11,0,179,193,0,0
107,1,12,0,179,193,0,0
108,1,13,0,179,193,0,0
109,1,14,0,179,193,0,0
110,1,15,0,179,193,0,0
111,1,16,0,179,193,0,0
112,1,17,0,179,193,0,0
113,1,18,0,179,193,0,0
114,1,19,0,179,193,0,0
115,1,20,0,179,193,0,0
116,1,21,0,179,193,0,0
117,1,22,0,179,193,0,0
118,1,23,0,179,193,0,0
119,1,24,0,179,193,0,0
120,1,25,0,179,193,0,0
25,0,1,0,183,0,1,0
26,0,2,0,183,0,0,0
27,0,3,0,183,0,0,0
28,0,4,0,183,0,0,0
29,0,5,0,183,0,0,0
30,0,6,0,183,0,1,0
31,0,7,0,183,0,1,0
32,0,8,0,183,0,1,0
33,0,9,0,183,0,1,0
34,0,10,0,183,0,1,0
35,0,11,0,183,0,1,0
36,0,12,0,183,0,1,0
37,0,13,0,183,0,1,0
38,0,14,0,183,0,1,0
39,0,15,0,183,0,0,0
40,0,16,0,183,0,0,0
41,0,17,0,183,0,0,0
42,0,18,0,183,0,1,0
43,0,19,0,183,0,1,0
44,0,20,0,183,0,0,0
45,0,21,0,183,0,3,0
46,0,22,0,183,0,1,0
47,0,23,0,183,0,1,0
48,0,24,0,183,0,1,0
49,0,25,0,183,0,2,0
121,1,1,0,186,193,1,0
122,1,2,0,186,193,0,0
123,1,3,0,186,193,0,0
124,1,4,0,186,193,0,0
125,1,5,0,186,193,0,0
126,1,6,0,186,193,0,0
