0,0,1,14.0
0,0,2,36.0
0,0,3,57.0
0,0,4,81.0
0,0,5,101.0
0,0,6,128.0
0,0,7,146.0
0,0,8,164.0
0,0,9,175.0
0,0,10,194.0
0,0,11,215.0
0,0,12,236.0
0,0,13,250.0
0,0,14,265.0
0,0,15,280.0
0,0,16,291.0
0,0,17,310.0
0,0,18,331.0
0,0,19,348.0
0,0,20,363.0
0,0,21,377.0
0,0,22,393.0
0,0,23,411.0
0,0,24,424.0
0,1,0,14.0
0,1,2,22.0
0,1,3,43.0
0,1,4,66.0
0,1,5,87.0
0,1,6,114.0
0,1,7,132.0
0,1,8,150.0
0,1,9,161.0
0,1,10,180.0
0,1,11,201.0
0,1,12,222.0
0,1,13,236.0
0,1,14,251.0
0,1,15,266.0
0,1,16,277.0
0,1,17,296.0
0,1,18,317.0
0,1,19,334.0
0,1,20,349.0
0,1,21,363.0
0,1,22,379.0
0,1,23,397.0
0,1,24,410.0
0,2,0,36.0
0,2,1,22.0
0,2,3,20.0
0,2,4,44.0
0,2,5,64.0
0,2,6,91.0
0,2,7,109.0
0,2,8,127.0
0,2,9,138.0
0,2,10,158.0
0,2,11,179.0
0,2,12,199.0
0,2,13,213.0
0,2,14,228.0
0,2,15,244.0
0,2,16,255.0
0,2,17,274.0
0,2,18,295.0
0,2,19,311.0
0,2,20,327.0
0,2,21,340.0
0,2,22,356.0
0,2,23,374.0
0,2,24,388.0
0,3,0,57.0
0,3,1,43.0
0,3,2,20.0
0,3,4,23.0
0,3,5,43.0
0,3,6,71.0
0,3,7,89.0
0,3,8,107.0
0,3,9,118.0
0,3,10,137.0
0,3,11,158.0
0,3,12,179.0
0,3,13,193.0
0,3,14,208.0
0,3,15,223.0
0,3,16,234.0
0,3,17,253.0
0,3,18,274.0
0,3,19,290.0
0,3,20,306.0
0,3,21,320.0
0,3,22,336.0
0,3,23,354.0
0,3,24,367.0
0,4,0,81.0
0,4,1,66.0
0,4,2,44.0
0,4,3,23.0
0,4,5,20.0
0,4,6,47.0
0,4,7,65.0
0,4,8,83.0
0,4,9,94.0
0,4,10,114.0
0,4,11,135.0
0,4,12,155.0
0,4,13,170.0
0,4,14,185.0
0,4,15,200.0
0,4,16,211.0
0,4,17,230.0
0,4,18,251.0
0,4,19,267.0
0,4,20,283.0
0,4,21,296.0
0,4,22,312.0
0,4,23,330.0
0,4,24,344.0
0,5,0,101.0
0,5,1,87.0
0,5,2,64.0
0,5,3,43.0
0,5,4,20.0
0,5,6,27.0
0,5,7,45.0
0,5,8,63.0
0,5,9,74.0
0,5,10,94.0
0,5,11,115.0
0,5,12,135.0
0,5,13,149.0
0,5,14,164.0
0,5,15,180.0
0,5,16,190.0
0,5,17,209.0
0,5,18,230.0
0,5,19,247.0
0,5,20,262.0
0,5,21,276.0
0,5,22,292.0
0,5,23,310.0
0,5,24,324.0
0,6,0,128.0
0,6,1,114.0
0,6,2,91.0
0,6,3,71.0
0,6,4,47.0
0,6,5,27.0
0,6,7,17.0
0,6,8,35.0
0,6,9,47.0
0,6,10,66.0
0,6,11,87.0
0,6,12,108.0
0,6,13,122.0
0,6,14,137.0
0,6,15,152.0
0,6,16,163.0
0,6,17,182.0
0,6,18,203.0
0,6,19,219.0
0,6,20,235.0
0,6,21,248.0
0,6,22,264.0
